artifact,type,name,version,purl
source,library,ajv,8.20.0,pkg:npm/ajv@8.20.0
source,library,ajv-errors,1.0.1,pkg:npm/ajv-errors@1.0.1
source,library,ajv-formats,3.0.1,pkg:npm/ajv-formats@3.0.1
source,library,ajv-keywords,3.5.2,pkg:npm/ajv-keywords@3.5.2
source,library,amphp/amp,v3.1.0,pkg:composer/amphp/amp@v3.1.0
source,library,amphp/byte-stream,v2.1.2,pkg:composer/amphp/byte-stream@v2.1.2
source,library,amphp/cache,v2.0.1,pkg:composer/amphp/cache@v2.0.1
source,library,amphp/dns,v2.4.0,pkg:composer/amphp/dns@v2.4.0
source,library,amphp/file,v3.2.0,pkg:composer/amphp/file@v3.2.0
source,library,amphp/hpack,v3.2.1,pkg:composer/amphp/hpack@v3.2.1
source,library,amphp/http,v2.1.2,pkg:composer/amphp/http@v2.1.2
source,library,amphp/http-client,v5.3.3,pkg:composer/amphp/http-client@v5.3.3
source,library,amphp/http-server,v3.4.3,pkg:composer/amphp/http-server@v3.4.3
source,library,amphp/http-server-router,v2.0.0,pkg:composer/amphp/http-server-router@v2.0.0
source,library,amphp/http-server-static-content,v2.0.0,pkg:composer/amphp/http-server-static-content@v2.0.0
source,library,amphp/log,v2.0.0,pkg:composer/amphp/log@v2.0.0
source,library,amphp/parallel,v2.3.1,pkg:composer/amphp/parallel@v2.3.1
source,library,amphp/parser,v1.1.1,pkg:composer/amphp/parser@v1.1.1
source,library,amphp/pipeline,v1.2.3,pkg:composer/amphp/pipeline@v1.2.3
source,library,amphp/postgres,v2.1.1,pkg:composer/amphp/postgres@v2.1.1
source,library,amphp/process,v2.0.3,pkg:composer/amphp/process@v2.0.3
source,library,amphp/serialization,v1.0.0,pkg:composer/amphp/serialization@v1.0.0
source,library,amphp/socket,v2.3.1,pkg:composer/amphp/socket@v2.3.1
source,library,amphp/sql,v2.0.1,pkg:composer/amphp/sql@v2.0.1
source,library,amphp/sql-common,v2.0.3,pkg:composer/amphp/sql-common@v2.0.3
source,library,amphp/sync,v2.3.0,pkg:composer/amphp/sync@v2.3.0
source,library,amphp/websocket,v2.0.4,pkg:composer/amphp/websocket@v2.0.4
source,library,amphp/websocket-client,v2.0.1,pkg:composer/amphp/websocket-client@v2.0.1
source,library,amphp/websocket-server,v4.0.0,pkg:composer/amphp/websocket-server@v4.0.0
source,library,ansi-colors,3.2.4,pkg:npm/ansi-colors@3.2.4
source,library,ansi-escapes,3.2.0,pkg:npm/ansi-escapes@3.2.0
source,library,ansi-gray,0.1.1,pkg:npm/ansi-gray@0.1.1
source,library,ansi-html,0.0.7,pkg:npm/ansi-html@0.0.7
source,library,ansi-regex,2.1.1,pkg:npm/ansi-regex@2.1.1
source,library,ansi-regex,3.0.1,pkg:npm/ansi-regex@3.0.1
source,library,ansi-regex,4.1.1,pkg:npm/ansi-regex@4.1.1
source,library,ansi-regex,5.0.1,pkg:npm/ansi-regex@5.0.1
source,library,ansi-styles,1.0.0,pkg:npm/ansi-styles@1.0.0
source,library,ansi-styles,2.2.1,pkg:npm/ansi-styles@2.2.1
source,library,ansi-styles,3.2.1,pkg:npm/ansi-styles@3.2.1
source,library,ansi-styles,4.3.0,pkg:npm/ansi-styles@4.3.0
source,library,ansi-wrap,0.1.0,pkg:npm/ansi-wrap@0.1.0
source,library,any-observable,0.3.0,pkg:npm/any-observable@0.3.0
source,library,anymatch,2.0.0,pkg:npm/anymatch@2.0.0
source,library,anymatch,3.1.3,pkg:npm/anymatch@3.1.3
source,library,append-transform,0.4.0,pkg:npm/append-transform@0.4.0
source,library,aproba,1.2.0,pkg:npm/aproba@1.2.0
source,library,arch,2.2.0,pkg:npm/arch@2.2.0
source,library,archive-type,3.2.0,pkg:npm/archive-type@3.2.0
source,library,archive-type,4.0.0,pkg:npm/archive-type@4.0.0
source,library,argparse,1.0.10,pkg:npm/argparse@1.0.10
source,library,aria-query,3.0.0,pkg:npm/aria-query@3.0.0
source,library,arr-diff,2.0.0,pkg:npm/arr-diff@2.0.0
source,library,arr-diff,4.0.0,pkg:npm/arr-diff@4.0.0
source,library,arr-flatten,1.1.0,pkg:npm/arr-flatten@1.1.0
source,library,arr-union,3.1.0,pkg:npm/arr-union@3.1.0
source,library,array-buffer-byte-length,1.0.2,pkg:npm/array-buffer-byte-length@1.0.2
source,library,array-differ,1.0.0,pkg:npm/array-differ@1.0.0
source,library,array-each,1.0.1,pkg:npm/array-each@1.0.1
source,library,array-equal,1.0.2,pkg:npm/array-equal@1.0.2
source,library,array-find,1.0.0,pkg:npm/array-find@1.0.0
source,library,array-find-index,1.0.2,pkg:npm/array-find-index@1.0.2
source,library,array-flatten,1.1.1,pkg:npm/array-flatten@1.1.1
source,library,array-includes,3.2.0,pkg:npm/array-includes@3.2.0
source,library,array-slice,1.1.0,pkg:npm/array-slice@1.1.0
source,library,array-union,1.0.2,pkg:npm/array-union@1.0.2
source,library,array-uniq,1.0.3,pkg:npm/array-uniq@1.0.3
source,library,array-unique,0.2.1,pkg:npm/array-unique@0.2.1
source,library,array-unique,0.3.2,pkg:npm/array-unique@0.3.2
source,library,array.prototype.find,2.2.3,pkg:npm/array.prototype.find@2.2.3
source,library,array.prototype.flat,1.3.3,pkg:npm/array.prototype.flat@1.3.3
source,library,array.prototype.flatmap,1.3.3,pkg:npm/array.prototype.flatmap@1.3.3
source,library,array.prototype.reduce,1.0.8,pkg:npm/array.prototype.reduce@1.0.8
source,library,arraybuffer.prototype.slice,1.0.4,pkg:npm/arraybuffer.prototype.slice@1.0.4
source,library,arrify,1.0.1,pkg:npm/arrify@1.0.1
source,library,asap,2.0.6,pkg:npm/asap@2.0.6
